City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,12,PF,1545509406,100,-23.12,-134.97,78.34,17.67
Cabo San Lucas,40,MX,1545507660,57,22.89,-109.91,78.8,4.7
Mataura,0,NZ,1545509406,81,-46.19,168.86,54.62,4.59
Qaanaaq,0,GL,1545509406,74,77.48,-69.36,-17.52,4.59
Upernavik,32,GL,1545509406,100,72.79,-56.15,-2.44,10.4
Puerto Ayora,75,EC,1545505200,74,-0.74,-90.35,80.6,14.99
Yellowknife,90,CA,1545506520,84,62.45,-114.38,-2.21,5.82
Berlevag,48,NO,1545509407,100,70.86,29.09,5.75,7.05
Nago,24,IT,1545506400,78,45.88,10.89,37.4,3.36
East London,80,ZA,1545509269,99,-33.02,27.91,74.6,20.8
Basoko,80,CD,1545509407,54,1.23,23.61,81.26,4.14
Kodiak,75,US,1545508500,56,39.95,-94.76,45.14,17.22
Dikson,80,RU,1545509407,99,73.51,80.55,1.93,34.78
Taltal,0,CL,1545509407,67,-25.41,-70.49,69.2,3.69
Lompoc,1,US,1545507300,76,34.64,-120.46,64.04,4.7
Camopi,100,GF,1545509408,96,3.17,-52.33,73.39,2.57
Ushuaia,75,AR,1545505200,71,-54.81,-68.31,53.6,41.38
Bredasdorp,0,ZA,1545505200,83,-34.53,20.04,71.6,3.36
Provideniya,32,RU,1545509408,100,64.42,-173.23,3.86,6.93
Chokurdakh,32,RU,1545509408,72,70.62,147.9,-36.51,3.02
Los Llanos de Aridane,0,ES,1545507000,45,28.66,-17.92,68.0,4.7
Longyearbyen,90,NO,1545506400,92,78.22,15.63,26.6,26.4
Hobyo,44,SO,1545509409,85,5.35,48.53,77.44,18.23
Ayan,0,TR,1545509409,74,40.67,33.6,19.52,1.9
New Bern,1,US,1545508560,51,35.11,-77.04,59.0,14.99
Punta Arenas,40,CL,1545505200,50,-53.16,-70.91,55.4,32.21
Busselton,0,AU,1545509409,100,-33.64,115.35,64.25,15.66
Batagay-Alyta,24,RU,1545509409,0,67.8,130.41,-49.92,3.24
Hermanus,8,ZA,1545509409,93,-34.42,19.24,61.01,2.91
Laguna,75,MX,1545508140,21,27.52,-110.01,82.4,8.05
Bambous Virieux,75,MU,1545505200,78,-20.34,57.76,78.8,17.22
Cherskiy,68,RU,1545509410,43,68.75,161.3,-27.28,3.91
Rocha,88,UY,1545509410,81,-34.48,-54.34,69.97,8.95
Independencia,0,MX,1545509411,38,20.06,-97.05,70.24,2.57
Santa Cruz del Norte,20,CU,1545508500,49,23.15,-81.92,75.2,6.93
Pangnirtung,90,CA,1545505200,65,66.15,-65.72,5.0,14.99
Melfi,90,IT,1545504900,86,41.0,15.66,39.2,23.04
Auch,90,FR,1545507000,87,43.65,0.59,57.2,5.82
Komsomolskiy,56,RU,1545509411,71,67.55,63.78,-10.36,15.99
Pevek,32,RU,1545509411,100,69.7,170.27,-22.6,1.68
Bluff,100,AU,1545509412,96,-23.58,149.07,72.89,8.05
Atuona,48,PF,1545509412,100,-9.8,-139.03,78.2,14.32
Atambua,88,ID,1545509412,100,-9.11,124.89,75.73,4.7
Buraydah,0,SA,1545505200,76,26.33,43.97,55.4,3.36
Kapaa,1,US,1545508560,71,22.08,-159.32,78.08,12.75
Acapulco,5,MX,1545507780,62,16.86,-99.88,84.2,8.05
Padang,88,ID,1545509186,100,-0.92,100.36,76.9,5.59
Natal,40,BR,1545505200,62,-5.81,-35.21,86.0,18.34
Thompson,90,CA,1545505200,84,55.74,-97.86,1.4,10.29
Cape Town,20,ZA,1545505200,88,-33.93,18.42,69.8,14.99
Saint George,40,GR,1545504600,100,39.45,22.34,44.6,2.91
Georgetown,75,GY,1545505200,69,6.8,-58.16,82.4,11.41
Mantamados,0,GR,1545508200,76,39.31,26.33,51.8,9.17
Port Alfred,44,ZA,1545509414,86,-33.59,26.89,74.29,13.53
Lorengau,76,PG,1545509414,100,-2.02,147.27,84.55,9.17
Aklavik,90,CA,1545507300,83,68.22,-135.01,-4.01,3.36
Geraldton,75,CA,1545505200,77,49.72,-86.95,-0.41,2.24
Zhaoyuan,0,CN,1545509414,41,45.52,125.08,1.16,10.96
Arraial do Cabo,0,BR,1545505200,62,-22.97,-42.02,91.4,11.41
Saint-Georges,88,CA,1545509475,82,46.12,-70.67,32.3,11.41
Esperance,20,TT,1545505200,58,10.24,-61.45,86.0,13.87
Mar del Plata,12,AR,1545509475,28,-46.43,-67.52,79.42,20.02
Ancud,90,CL,1545505200,76,-41.87,-73.83,57.2,6.93
Adrar,0,DZ,1545505200,31,27.87,-0.29,64.4,16.11
Shenxian,12,CN,1545509476,74,36.24,115.67,30.82,13.98
Lebu,40,ET,1545505200,71,8.96,38.73,57.2,9.17
Kaitong,0,CN,1545509476,26,44.81,123.15,5.12,12.41
Anadyr,40,RU,1545505200,76,64.73,177.51,-9.41,6.71
Amapa,40,HN,1545508800,65,15.09,-87.97,77.0,11.41
Ossora,24,RU,1545509476,93,59.24,163.07,3.14,6.6
Hilo,90,US,1545504780,75,19.71,-155.08,71.06,10.63
Albany,90,US,1545508560,72,42.65,-73.75,35.06,20.8
Port Hedland,0,AU,1545507000,78,-20.31,118.58,77.0,4.7
Gamba,0,CN,1545509477,19,28.28,88.52,-23.01,1.9
Butaritari,68,KI,1545509477,100,3.07,172.79,81.71,4.7
Canon City,20,US,1545509477,35,39.46,-117.13,40.85,3.58
Tinskoy,68,RU,1545509478,67,56.15,96.92,9.67,6.71
Acajutla,0,SV,1545508200,32,13.59,-89.83,82.4,4.7
Ponta do Sol,44,BR,1545509478,64,-20.63,-46.0,80.95,7.61
Vicente Guerrero,20,MX,1545507780,19,16.93,-96.7,75.2,5.82
Southbridge,75,US,1545508560,69,42.08,-72.03,39.92,13.87
Xuchang,0,CN,1545505200,64,34.03,113.82,35.6,4.47
Hovd,75,NO,1545508200,63,63.83,10.7,30.2,10.29
Suhut,32,TR,1545509479,72,38.53,30.55,20.2,2.57
Melito di Porto Salvo,20,IT,1545504900,71,37.92,15.77,57.2,12.75
Praia,75,BR,1545505200,53,-20.25,-43.81,77.0,14.99
Saraj,90,MK,1545508800,92,42.0,21.33,41.0,1.12
Mizdah,20,LY,1545509479,91,31.45,12.98,41.3,3.91
Vaini,64,IN,1545509480,81,15.34,74.49,72.17,3.58
Jamestown,0,AU,1545509341,67,-33.21,138.6,55.25,6.04
Bentong,75,MY,1545505200,88,3.52,101.91,78.8,1.9
Piquete,40,BR,1545505200,61,-22.61,-45.18,80.6,1.12
Sisimiut,92,GL,1545509480,100,66.94,-53.67,19.39,1.79
Country Club,20,BR,1545505200,48,-23.02,-47.01,86.0,19.46
Kampene,68,CD,1545509481,88,-3.59,26.67,71.05,2.01
Tuktoyaktuk,90,CA,1545505200,84,69.44,-133.03,1.4,3.36
Hithadhoo,0,MV,1545509481,100,-0.6,73.08,82.34,8.72
Port Hardy,90,CA,1545505200,86,50.7,-127.42,39.2,35.57
Mount Isa,0,AU,1545507000,12,-20.73,139.49,80.6,14.99
Luena,20,AO,1545509481,97,-11.78,19.91,61.42,2.68
Barra do Garcas,0,BR,1545509481,72,-15.89,-52.26,88.42,0.34
Warrnambool,0,AU,1545509305,100,-38.38,142.48,56.42,7.94
Huarmey,24,PE,1545509482,57,-10.07,-78.15,77.44,4.03
Bethel,90,US,1545509280,84,60.79,-161.76,-0.41,10.29
Codrington,8,AU,1545505200,77,-28.95,153.24,62.6,3.36
New Norfolk,75,AU,1545507000,58,-42.78,147.06,57.2,10.29
Tiznit,0,MA,1545509483,88,29.7,-9.73,57.55,0.78
Kysyl-Syr,20,RU,1545509483,47,63.9,122.77,-29.22,5.48
Kenora,90,CA,1545507300,85,49.76,-94.48,21.2,8.05
Jales,24,BR,1545509483,65,-20.27,-50.55,87.47,5.37
Kraslava,92,LV,1545509483,94,55.9,27.16,28.97,8.95
Tamahu,8,GT,1545509483,53,15.33,-90.17,71.0,2.57
Havre-Saint-Pierre,90,CA,1545507720,100,50.23,-63.6,44.6,11.41
Hornepayne,36,CA,1545509484,60,49.22,-84.78,4.4,3.69
Helong,56,CN,1545509484,95,25.94,116.13,55.52,4.14
Bouna,0,CI,1545509484,42,9.27,-3.0,72.4,4.92
Inhambane,0,MZ,1545509484,98,-23.87,35.38,74.51,8.39
Alofi,68,NU,1545505200,83,-19.06,-169.92,82.4,17.22
Victoria,75,BN,1545507000,94,5.28,115.24,77.0,3.13
Sidney,90,US,1545507300,66,47.72,-104.16,33.08,25.28
Muli,0,IN,1545509545,77,22.62,71.45,49.31,2.8
Osa,48,RU,1545509545,86,57.28,55.46,2.51,3.13
Haines Junction,48,CA,1545509546,81,60.75,-137.51,-1.32,2.35
Finschhafen,92,PG,1545509546,99,-6.6,147.85,72.22,2.24
Pisco,0,PE,1545505200,30,-13.71,-76.2,71.6,9.17
Saint-Augustin,90,FR,1545507000,100,44.83,-0.61,57.2,8.05
Ozernovskiy,8,RU,1545509546,94,51.5,156.52,14.17,4.14
Kafue,44,ZM,1545509546,87,-15.74,28.18,69.07,11.3
Dingle,92,PH,1545509547,99,11.0,122.67,72.8,2.57
Carnarvon,0,ZA,1545509547,20,-30.97,22.13,74.15,12.41
Bintulu,75,MY,1545505200,100,3.17,113.03,73.4,5.82
Waddan,0,LY,1545509547,82,29.16,16.14,37.25,5.03
Sananduva,92,BR,1545509547,100,-27.95,-51.81,67.85,4.7
Santa Cruz Cabralia,20,BR,1545508800,58,-16.28,-39.02,82.4,19.46
Gwanda,0,ZW,1545509547,73,-20.94,29.0,71.59,10.4
Tasiilaq,32,GL,1545508200,73,65.61,-37.64,24.8,1.12
Marsh Harbour,0,BS,1545509548,100,26.54,-77.06,70.64,12.97
Urdoma,56,RU,1545509548,75,61.74,48.55,-3.12,4.92
Roald,75,NO,1545508200,93,62.58,6.12,37.4,10.29
Bambui,0,CM,1545509548,66,6.01,10.23,55.84,2.57
Hobart,75,AU,1545507000,58,-42.88,147.33,57.2,10.29
Raudeberg,92,NO,1545508200,100,61.99,5.14,35.6,9.17
Kaitangata,0,NZ,1545509548,81,-46.28,169.85,53.77,4.59
Santa Cruz do Rio Pardo,32,BR,1545509549,54,-22.91,-49.63,87.02,3.91
Port Elizabeth,40,US,1545508560,57,39.31,-74.98,49.64,13.87
Narsaq,88,GL,1545509549,78,60.91,-46.05,17.59,2.57
Kutum,12,SD,1545509550,33,14.2,24.66,50.17,11.41
Skjold,40,NO,1545508200,80,60.31,5.33,35.6,6.93
Nikolskoye,75,RU,1545507000,85,59.7,30.79,15.8,11.18
Miri,0,NG,1545509550,62,10.31,9.75,57.05,3.8
Zhigansk,8,RU,1545509550,71,66.77,123.37,-36.37,6.6
General Roca,0,AR,1545508800,10,-39.03,-67.58,93.2,6.93
Saint Anthony,90,US,1545508560,65,43.97,-111.68,24.98,7.16
Jawhar,0,IN,1545509551,84,19.91,73.23,57.1,2.68
Constitucion,5,MX,1545507660,11,23.99,-104.67,69.8,4.14
Dubuque,90,US,1545508500,88,42.5,-90.66,30.2,4.36
Rock Island,90,US,1545508560,72,41.51,-90.58,41.0,11.41
Boyolangu,56,ID,1545509551,95,-8.09,111.9,70.78,4.92
Boditi,48,ET,1545509552,53,6.95,37.86,59.62,3.24
Broome,20,GB,1545508560,93,52.47,1.45,44.6,8.05
Naze,80,NG,1545509552,46,5.43,7.07,85.18,3.13
Ukhta,68,RU,1545509552,83,63.56,53.68,3.55,4.03
Bahia de Caraquez,75,EC,1545508800,78,-0.6,-80.42,82.4,8.05
Dzemul,20,MX,1545508140,31,21.21,-89.31,78.8,4.7
Yulara,0,AU,1545505200,21,-25.24,130.99,69.8,9.17
Grand Gaube,75,MU,1545508800,83,-20.01,57.66,78.8,17.22
Bambanglipuro,92,ID,1545509553,100,-7.95,110.28,71.23,3.69
Lucapa,88,AO,1545509553,98,-8.42,20.74,67.04,3.91
Norman Wells,20,CA,1545505200,75,65.28,-126.83,-18.41,3.36
Tiksi,0,RU,1545509553,56,71.64,128.87,-32.37,10.4
Carazinho,92,BR,1545509554,100,-28.3,-52.79,68.66,5.48
Saint-Philippe,90,CA,1545508260,74,45.36,-73.48,30.2,23.04
Vestmanna,56,FO,1545508200,80,62.16,-7.17,41.0,6.93
Verkhoyansk,8,RU,1545509554,0,67.55,133.39,-51.85,2.57
Saskylakh,36,RU,1545509554,79,71.97,114.09,-38.35,8.39
Klaksvik,24,FO,1545508200,80,62.23,-6.59,41.0,6.93
